交易时间,买卖方向,开平仓,交易价格,交易数量
2019-01-19 00:00:00,空,开,119.5,1.0
2019-01-19 16:00:00,多,平,124.41,1.0
2019-01-19 16:00:00,多,开,124.41,1.0
2019-01-20 16:00:00,空,平,119.6,1.0
2019-01-20 20:00:00,空,开,116.91,1.0
2019-02-09 00:00:00,多,平,118.63,1.0
2019-02-18 04:00:00,多,开,132.0,1.0
2019-07-14 16:00:00,空,平,242.55,1.0
2019-07-17 04:00:00,空,开,199.0,1.0
2019-07-18 20:00:00,多,平,224.92,1.0
2019-07-24 08:00:00,空,开,204.27,1.0
2019-08-05 08:00:00,多,平,229.88,1.0
2019-09-26 20:00:00,空,开,159.66,1.0
2019-09-30 20:00:00,多,平,179.37,1.0
2019-11-22 16:00:00,空,开,148.66,1.0
